hand,combos,notqual,lose,draw,win,antebonus,ev
"Card[7♣, 5♣, 4♢]",12,5311,13113,0,0,0,-1.135204081632653
"Card[7♣, 5♣, 5♢]",6,5284,3920,3,9217,0,0.8618106817194963
"Card[7♣, 5♢, 2♣]",12,5288,13136,0,0,0,-1.1389491966999565
"Card[7♣, 5♢, 2♢]",12,5288,13136,0,0,0,-1.1389491966999565
"Card[7♣, 5♢, 2♡]",24,5296,13128,0,0,0,-1.1376465479808946
"Card[7♣, 5♢, 3♣]",12,5299,13125,0,0,0,-1.137158054711246
"Card[7♣, 5♢, 3♢]",12,5300,13124,0,0,0,-1.1369952236213634
"Card[7♣, 5♢, 3♡]",24,5307,13117,0,0,0,-1.1358554059921842
"Card[7♣, 5♢, 4♣]",12,5310,13114,0,0,0,-1.1353669127225359
"Card[7♣, 5♢, 4♢]",12,5312,13112,0,0,0,-1.1350412505427703
"Card[7♣, 5♢, 4♡]",24,5318,13106,0,0,0,-1.1340642640034737
"Card[7♣, 5♢, 5♣]",6,5284,3920,3,9217,0,0.8618106817194963
"Card[7♣, 5♢, 5♡]",12,5291,3910,3,9220,0,0.8636018237082067
"Card[7♣, 6♣, 2♣]",4,5271,1585,3,11565,0,1.3694637429439862
"Card[7♣, 6♣, 2♢]",12,5286,13138,0,0,0,-1.1392748588797221
"Card[7♣, 6♣, 3♣]",4,5286,1566,3,11569,0,1.3727746417716022
"Card[7♣, 6♣, 3♢]",12,5301,13123,0,0,0,-1.1368323925314807
"Card[7♣, 6♣, 4♣]",4,5298,1566,3,11557,0,1.3721233174120713
"Card[7♣, 6♣, 4♢]",12,5312,13112,0,0,0,-1.1350412505427703
"Card[7♣, 6♣, 5♣]",4,5292,69,3,13060,4,5.697459834997829
"Card[7♣, 6♣, 5♢]",12,5305,462,25,12632,1,2.6090425531914896
"Card[7♣, 6♣, 6♢]",6,5277,3657,3,9487,0,0.9192900564481111
"Card[7♣, 6♢, 2♣]",12,5284,13140,0,0,0,-1.1396005210594877
"Card[7♣, 6♢, 2♢]",12,5284,13140,0,0,0,-1.1396005210594877
"Card[7♣, 6♢, 2♡]",24,5292,13132,0,0,0,-1.1382978723404256
"Card[7♣, 6♢, 3♣]",12,5299,13125,0,0,0,-1.137158054711246
"Card[7♣, 6♢, 3♢]",12,5299,13125,0,0,0,-1.137158054711246
"Card[7♣, 6♢, 3♡]",24,5307,13117,0,0,0,-1.1358554059921842
"Card[7♣, 6♢, 4♣]",12,5310,13114,0,0,0,-1.1353669127225359
"Card[7♣, 6♢, 4♢]",12,5311,13113,0,0,0,-1.135204081632653
"Card[7♣, 6♢, 4♡]",24,5318,13106,0,0,0,-1.1340642640034737
"Card[7♣, 6♢, 5♣]",12,5304,462,25,12633,1,2.6090968302214503
"Card[7♣, 6♢, 5♢]",12,5305,463,25,12631,1,2.6088254450716457
"Card[7♣, 6♢, 5♡]",24,5311,461,26,12626,1,2.6088254450716457
"Card[7♣, 6♢, 6♣]",6,5277,3657,3,9487,0,0.9192900564481111
"Card[7♣, 6♢, 6♡]",12,5283,3648,3,9490,0,0.9209183673469388
"Card[7♣, 7♢, 2♣]",6,5261,3536,3,9624,0,0.9464285714285714
"Card[7♣, 7♢, 2♢]",6,5261,3536,3,9624,0,0.9464285714285714
"Card[7♣, 7♢, 2♡]",12,5269,3525,3,9627,0,0.9483825445071645
"Card[7♣, 7♢, 3♣]",6,5276,3517,3,9628,0,0.9497394702561875
"Card[7♣, 7♢, 3♢]",6,5276,3517,3,9628,0,0.9497394702561875
"Card[7♣, 7♢, 3♡]",12,5284,3506,3,9631,0,0.9516934433347807
"Card[7♣, 7♢, 4♣]",6,5291,3513,3,9617,0,0.9497937472861485
"Card[7♣, 7♢, 4♢]",6,5291,3513,3,9617,0,0.9497937472861485
"Card[7♣, 7♢, 4♡]",12,5299,3502,3,9620,0,0.9517477203647416
"Card[7♣, 7♢, 5♣]",6,5284,3516,3,9621,0,0.9495223621363439
"Card[7♣, 7♢, 5♢]",6,5284,3516,3,9621,0,0.9495223621363439
"Card[7♣, 7♢, 5♡]",12,5291,3506,3,9624,0,0.9513135041250543
"Card[7♣, 7♢, 6♣]",6,5277,3519,3,9625,0,0.9492509769865393
"Card[7♣, 7♢, 6♢]",6,5277,3519,3,9625,0,0.9492509769865393
"Card[7♣, 7♢, 6♡]",12,5283,3510,3,9628,0,0.9508792878853669
"Card[7♣, 7♢, 7♡]",4,5235,32,0,13157,5,6.708912288319583
"Card[8♣, 2♣, 2♢]",6,5231,4749,3,8441,0,0.6847047329570126
"Card[8♣, 2♢, 2♣]",6,5231,4749,3,8441,0,0.6847047329570126
"Card[8♣, 2♢, 2♡]",12,5239,4738,3,8444,0,0.6866587060356057
"Card[8♣, 3♣, 2♣]",4,5259,1574,3,11588,0,1.3725032566217976
"Card[8♣, 3♣, 2♢]",12,5273,13151,0,0,0,-1.141391663048198
"Card[8♣, 3♣, 3♢]",6,5261,4449,3,8711,0,0.7482088580112897
"Card[8♣, 3♢, 2♣]",12,5273,13151,0,0,0,-1.141391663048198
"Card[8♣, 3♢, 2♢]",12,5274,13150,0,0,0,-1.1412288319583153
"Card[8♣, 3♢, 2♡]",24,5281,13143,0,0,0,-1.140089014329136
"Card[8♣, 3♢, 3♣]",6,5261,4449,3,8711,0,0.7482088580112897
"Card[8♣, 3♢, 3♡]",12,5269,4438,3,8714,0,0.7501628310898828
"Card[8♣, 4♣, 2♣]",4,5274,1567,3,11580,0,1.3732088580112896
"Card[8♣, 4♣, 2♢]",12,5288,13136,0,0,0,-1.1389491966999565
"Card[8♣, 4♣, 3♣]",4,5286,1552,3,11583,0,1.3758141554494139
"Card[8♣, 4♣, 3♢]",12,5299,13125,0,0,0,-1.137158054711246
"Card[8♣, 4♣, 4♢]",6,5291,4179,3,8951,0,0.8051997394702561
"Card[8♣, 4♢, 2♣]",12,5288,13136,0,0,0,-1.1389491966999565
"Card[8♣, 4♢, 2♢]",12,5289,13135,0,0,0,-1.1387863656100738
"Card[8♣, 4♢, 2♡]",24,5296,13128,0,0,0,-1.1376465479808946
"Card[8♣, 4♢, 3♣]",12,5299,13125,0,0,0,-1.137158054711246
"Card[8♣, 4♢, 3♢]",12,5301,13123,0,0,0,-1.1368323925314807
"Card[8♣, 4♢, 3♡]",24,5307,13117,0,0,0,-1.1358554059921842
"Card[8♣, 4♢, 4♣]",6,5291,4179,3,8951,0,0.8051997394702561
"Card[8♣, 4♢, 4♡]",12,5299,4168,3,8954,0,0.8071537125488494
"Card[8♣, 5♣, 2♣]",4,5277,1557,3,11587,0,1.3752171081198437
"Card[8♣, 5♣, 2♢]",12,5292,13132,0,0,0,-1.1382978723404256
"Card[8♣, 5♣, 3♣]",4,5289,1542,3,11590,0,1.377822405557968
"Card[8♣, 5♣, 3♢]",12,5303,13121,0,0,0,-1.1365067303517151
"Card[8♣, 5♣, 4♣]",4,5301,1542,3,11578,0,1.3771710811984368
"Card[8♣, 5♣, 4♢]",12,5314,13110,0,0,0,-1.1347155883630047
"Card[8♣, 5♣, 5♢]",6,5291,3909,3,9221,0,0.8638189318280504
"Card[8♣, 5♢, 2♣]",12,5292,13132,0,0,0,-1.1382978723404256
"Card[8♣, 5♢, 2♢]",12,5292,13132,0,0,0,-1.1382978723404256
"Card[8♣, 5♢, 2♡]",24,5300,13124,0,0,0,-1.1369952236213634
"Card[8♣, 5♢, 3♣]",12,5303,13121,0,0,0,-1.1365067303517151
"Card[8♣, 5♢, 3♢]",12,5304,13120,0,0,0,-1.1363438992618324
"Card[8♣, 5♢, 3♡]",24,5311,13113,0,0,0,-1.135204081632653
"Card[8♣, 5♢, 4♣]",12,5314,13110,0,0,0,-1.1347155883630047
"Card[8♣, 5♢, 4♢]",12,5316,13108,0,0,0,-1.1343899261832393
"Card[8♣, 5♢, 4♡]",24,5322,13102,0,0,0,-1.1334129396439427
"Card[8♣, 5♢, 5♣]",6,5291,3909,3,9221,0,0.8638189318280504
"Card[8♣, 5♢, 5♡]",12,5299,3898,3,9224,0,0.8657729049066435
"Card[8♣, 6♣, 2♣]",4,5274,1552,3,11595,0,1.3764654798089448
"Card[8♣, 6♣, 2♢]",12,5289,13135,0,0,0,-1.1387863656100738
"Card[8♣, 6♣, 3♣]",4,5289,1533,3,11599,0,1.379776378636561
"Card[8♣, 6♣, 3♢]",12,5304,13120,0,0,0,-1.1363438992618324
"Card[8♣, 6♣, 4♣]",4,5301,1533,3,11587,0,1.37912505427703
"Card[8♣, 6♣, 4♢]",12,5315,13109,0,0,0,-1.134552757273122
"Card[8♣, 6♣, 5♣]",4,5298,1534,3,11589,0,1.379070777247069
"Card[8♣, 6♣, 5♢]",12,5311,13113,0,0,0,-1.135204081632653
"Card[8♣, 6♣, 6♢]",6,5284,3646,3,9491,0,0.9212983065566652
"Card[8♣, 6♢, 2♣]",12,5288,13136,0,0,0,-1.1389491966999565
"Card[8♣, 6♢, 2♢]",12,5288,13136,0,0,0,-1.1389491966999565
"Card[8♣, 6♢, 2♡]",24,5296,13128,0,0,0,-1.1376465479808946
"Card[8♣, 6♢, 3♣]",12,5303,13121,0,0,0,-1.1365067303517151
"Card[8♣, 6♢, 3♢]",12,5303,13121,0,0,0,-1.1365067303517151
"Card[8♣, 6♢, 3♡]",24,5311,13113,0,0,0,-1.135204081632653
"Card[8♣, 6♢, 4♣]",12,5314,13110,0,0,0,-1.1347155883630047
"Card[8♣, 6♢, 4♢]",12,5315,13109,0,0,0,-1.134552757273122
"Card[8♣, 6♢, 4♡]",24,5322,13102,0,0,0,-1.1334129396439427
"Card[8♣, 6♢, 5♣]",12,5310,13114,0,0,0,-1.1353669127225359
"Card[8♣, 6♢, 5♢]",12,5312,13112,0,0,0,-1.1350412505427703
"Card[8♣, 6♢, 5♡]",24,5318,13106,0,0,0,-1.1340642640034737
"Card[8♣, 6♢, 6♣]",6,5284,3646,3,9491,0,0.9212983065566652
"Card[8♣, 6♢, 6♡]",12,5291,3636,3,9494,0,0.9230894485453756
"Card[8♣, 7♣, 2♣]",4,5271,1544,3,11606,0,1.378365175857577
"Card[8♣, 7♣, 2♢]",12,5286,13138,0,0,0,-1.1392748588797221
"Card[8♣, 7♣, 3♣]",4,5286,1525,3,11610,0,1.3816760746851933
"Card[8♣, 7♣, 3♢]",12,5301,13123,0,0,0,-1.1368323925314807
"Card[8♣, 7♣, 4♣]",4,5301,1521,3,11599,0,1.3817303517151542
"Card[8♣, 7♣, 4♢]",12,5316,13108,0,0,0,-1.1343899261832393
"Card[8♣, 7♣, 5♣]",4,5298,1522,3,11601,0,1.3816760746851933
"Card[8♣, 7♣, 5♢]",12,5312,13112,0,0,0,-1.1350412505427703
"Card[8♣, 7♣, 6♣]",4,5292,65,3,13064,4,5.698328267477203
"Card[8♣, 7♣, 6♢]",12,5305,402,25,12692,1,2.6220690403821103
"Card[8♣, 7♣, 7♢]",6,5277,3383,3,9761,0,0.9787776812852801
"Card[8♣, 7♢, 2♣]",12,5284,13140,0,0,0,-1.1396005210594877
"Card[8♣, 7♢, 2♢]",12,5284,13140,0,0,0,-1.1396005210594877
"Card[8♣, 7♢, 2♡]",24,5292,13132,0,0,0,-1.1382978723404256
"Card[8♣, 7♢, 3♣]",12,5299,13125,0,0,0,-1.137158054711246
"Card[8♣, 7♢, 3♢]",12,5299,13125,0,0,0,-1.137158054711246
"Card[8♣, 7♢, 3♡]",24,5307,13117,0,0,0,-1.1358554059921842
"Card[8♣, 7♢, 4♣]",12,5314,13110,0,0,0,-1.1347155883630047
"Card[8♣, 7♢, 4♢]",12,5314,13110,0,0,0,-1.1347155883630047
"Card[8♣, 7♢, 4♡]",24,5322,13102,0,0,0,-1.1334129396439427
"Card[8♣, 7♢, 5♣]",12,5310,13114,0,0,0,-1.1353669127225359
"Card[8♣, 7♢, 5♢]",12,5311,13113,0,0,0,-1.135204081632653
"Card[8♣, 7♢, 5♡]",24,5318,13106,0,0,0,-1.1340642640034737
"Card[8♣, 7♢, 6♣]",12,5304,402,25,12693,1,2.622123317412071
"Card[8♣, 7♢, 6♢]",12,5305,403,25,12691,1,2.621851932262267
"Card[8♣, 7♢, 6♡]",24,5311,401,26,12686,1,2.621851932262267
"Card[8♣, 7♢, 7♣]",6,5277,3383,3,9761,0,0.9787776812852801
"Card[8♣, 7♢, 7♡]",12,5283,3374,3,9764,0,0.9804059921841077
"Card[8♣, 8♢, 2♣]",6,5261,3266,3,9894,0,1.0050477637863655
"Card[8♣, 8♢, 2♢]",6,5261,3266,3,9894,0,1.0050477637863655
"Card[8♣, 8♢, 2♡]",12,5269,3255,3,9897,0,1.0070017368649586
"Card[8♣, 8♢, 3♣]",6,5276,3247,3,9898,0,1.0083586626139818
"Card[8♣, 8♢, 3♢]",6,5276,3247,3,9898,0,1.0083586626139818
"Card[8♣, 8♢, 3♡]",12,5284,3236,3,9901,0,1.010312635692575
"Card[8♣, 8♢, 4♣]",6,5291,3243,3,9887,0,1.0084129396439427
"Card[8♣, 8♢, 4♢]",6,5291,3243,3,9887,0,1.0084129396439427
"Card[8♣, 8♢, 4♡]",12,5299,3232,3,9890,0,1.0103669127225359
"Card[8♣, 8♢, 5♣]",6,5291,3239,3,9891,0,1.0092813721233174
"Card[8♣, 8♢, 5♢]",6,5291,3239,3,9891,0,1.0092813721233174
"Card[8♣, 8♢, 5♡]",12,5299,3228,3,9894,0,1.0112353452019105
"Card[8♣, 8♢, 6♣]",6,5284,3242,3,9895,0,1.0090099869735127
"Card[8♣, 8♢, 6♢]",6,5284,3242,3,9895,0,1.0090099869735127
"Card[8♣, 8♢, 6♡]",12,5291,3232,3,9898,0,1.0108011289622232
"Card[8♣, 8♢, 7♣]",6,5277,3245,3,9899,0,1.0087386018237081
"Card[8♣, 8♢, 7♢]",6,5277,3245,3,9899,0,1.0087386018237081
"Card[8♣, 8♢, 7♡]",12,5283,3236,3,9902,0,1.0103669127225359
"Card[8♣, 8♢, 8♡]",4,5235,28,0,13161,5,6.709780720798958
"Card[9♣, 2♣, 2♢]",6,5231,4745,3,8445,0,0.6855731654363874
"Card[9♣, 2♢, 2♣]",6,5231,4745,3,8445,0,0.6855731654363874
"Card[9♣, 2♢, 2♡]",12,5239,4734,3,8448,0,0.6875271385149805
"Card[9♣, 3♣, 2♣]",4,5259,1527,3,11635,0,1.3827073382544508
"Card[9♣, 3♣, 2♢]",12,5273,13151,0,0,0,-1.141391663048198
"Card[9♣, 3♣, 3♢]",6,5261,4445,3,8715,0,0.7490772904906644
"Card[9♣, 3♢, 2♣]",12,5273,13151,0,0,0,-1.141391663048198
"Card[9♣, 3♢, 2♢]",12,5274,13150,0,0,0,-1.1412288319583153
"Card[9♣, 3♢, 2♡]",24,5281,13143,0,0,0,-1.140089014329136
"Card[9♣, 3♢, 3♣]",6,5261,4445,3,8715,0,0.7490772904906644
"Card[9♣, 3♢, 3♡]",12,5269,4434,3,8718,0,0.7510312635692575
"Card[9♣, 4♣, 2♣]",4,5274,1520,3,11627,0,1.3834129396439427
"Card[9♣, 4♣, 2♢]",12,5288,13136,0,0,0,-1.1389491966999565
"Card[9♣, 4♣, 3♣]",4,5286,1505,3,11630,0,1.3860182370820668
"Card[9♣, 4♣, 3♢]",12,5299,13125,0,0,0,-1.137158054711246
"Card[9♣, 4♣, 4♢]",6,5291,4175,3,8955,0,0.8060681719496309
"Card[9♣, 4♢, 2♣]",12,5288,13136,0,0,0,-1.1389491966999565
"Card[9♣, 4♢, 2♢]",12,5289,13135,0,0,0,-1.1387863656100738
